monthly_hours,TariffRate,electricity_bill
384,8.4,3225.6000000000004
488,7.8,3806.4
416,7.7,3203.2000000000003
475,9.2,4370.0
457,9.2,4204.4
471,7.4,3485.4
755,8.5,6417.5
492,8.5,4182.0
546,8.5,4641.0
578,7.6,4392.8
450,7.9,3555.0
493,9.2,4535.599999999999
492,8.4,4132.8
565,7.9,4463.5
414,8.2,3394.8
594,8.9,5286.6
349,8.8,3071.2000000000003
355,7.6,2698.0
467,8.5,3969.5
646,8.5,5491.0
476,9.2,4379.2
659,7.4,4876.6
631,8.1,5111.099999999999
395,8.1,3199.5
480,8.2,3936.0
678,8.9,6034.2
664,8.1,5378.4
515,8.9,4583.5
509,8.1,4122.9
679,8.1,5499.9
564,8.4,4737.6
412,9.2,3790.4
468,8.1,3790.8
452,8.7,3932.4
447,9.1,4067.7
361,8.5,3068.5
442,8.3,3668.6
307,8.2,2517.4
494,8.2,4050.8
699,9.1,6360.9
549,7.7,4227.3
385,8.3,3195.5000000000005
491,8.5,4173.5
646,7.6,4909.599999999999
546,8.9,4859.400000000001
636,7.8,4960.8
401,8.7,3488.7
360,7.6,2736.0
539,7.8,4204.2
577,9.3,5366.1
673,8.5,5720.5
443,8.7,3854.1
398,8.3,3303.4
653,9.3,6072.900000000001
421,8.4,3536.4
421,8.8,3704.8
650,8.8,5720.000000000001
484,7.9,3823.6
737,8.2,6043.4
405,9.2,3726.0
458,8.4,3847.2
466,7.6,3541.6
456,8.4,3830.4
394,9.2,3624.8
263,8.2,2156.6
490,9.2,4508.0
476,7.7,3665.2
577,7.7,4442.900000000001
533,7.8,4157.4
495,9.3,4603.5
399,7.7,3072.3
604,8.7,5254.799999999999
653,8.7,5681.099999999999
512,8.2,4198.4
468,8.2,3837.6
563,8.7,4898.099999999999
496,8.7,4315.2
500,8.4,4200.0
502,8.4,4216.8
616,7.7,4743.2
589,8.1,4770.9
595,8.4,4998.0
487,7.9,3847.3
512,7.4,3788.8
388,8.4,3259.2000000000003
437,9.2,4020.4
656,8.5,5576.0
300,8.4,2520.0
523,7.6,3974.8
565,8.4,4746.0
561,7.7,4319.7
628,9.2,5777.599999999999
560,8.2,4592.0
425,8.4,3570.0
632,7.8,4929.599999999999
560,9.1,5096.0
389,8.1,3150.9
576,8.9,5126.400000000001
340,7.6,2584.0
417,8.4,3502.8
503,9.3,4677.900000000001
561,8.5,4768.5
588,9.3,5468.400000000001
