group,category,rating_quality,footprint
drinks,soft drinks,2.21,0.37161937
drinks,soft drinks,2.38,0.50060083
"fruits, vegetables, pulses and oilseeds",fruits,2.26,0.39651509
"fruits, vegetables, pulses and oilseeds",fruits,2.07,0.39651509
"fruits, vegetables, pulses and oilseeds",fruits,2.03,0.39651509
"fruits, vegetables, pulses and oilseeds",fruits,2.26,0.46210253
drinks,soft drinks,2.06316146127171,0.33195912
"fruits, vegetables, pulses and oilseeds",fruits,2.46,0.54492743
"fruits, vegetables, pulses and oilseeds",fruits,2.44,0.54492743
baby food,baby deserts,3.03,0.67214369
baby food,baby deserts,2.64,0.67214369
cereal products,bread and viennoiseries,1.95,0.78919318
drinks,soft drinks,2.11186373104387,0.46752188
cereal products,flour and pie dough,2.43,0.71979208
cereal products,"pasta, rice and cereals",2.55,0.78669561
"fruits, vegetables, pulses and oilseeds",pulses,3.35,0.67170957
"fruits, vegetables, pulses and oilseeds",vegetables,2.6,0.3643211
drinks,soft drinks,3.06,0.039161353
drinks,soft drinks,2.97,0.38633289
cereal products,bread and viennoiseries,1.95,0.62883948
cereal products,bread and viennoiseries,1.95,0.737473
cereal products,bread and viennoiseries,1.95,0.6599294
cereal products,bread and viennoiseries,1.95,0.68666587
cereal products,bread and viennoiseries,2.34,0.68666587
cereal products,bread and viennoiseries,1.95,0.68858077
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,2.6,0.42500525
"fruits, vegetables, pulses and oilseeds",pulses,3.01,0.41844255
"fruits, vegetables, pulses and oilseeds",pulses,3.16,0.50378806
starters and mixed dishes,soups,2.13354459850019,0.14308862
starters and mixed dishes,soups,2.11105494130978,0.13348626
starters and mixed dishes,soups,2.11,0.13199186
"fruits, vegetables, pulses and oilseeds",vegetables,2.6,0.57581867
"fruits, vegetables, pulses and oilseeds",vegetables,2.38,0.5056327
"fruits, vegetables, pulses and oilseeds",fruits,3.12,0.5330489
"fruits, vegetables, pulses and oilseeds",vegetables,2.6,0.75635927
drinks,soft drinks,2.08970536868115,0.34938729
"fruits, vegetables, pulses and oilseeds",vegetables,2.7,0.73471505
"fruits, vegetables, pulses and oilseeds",vegetables,2.15,0.3643211
"fruits, vegetables, pulses and oilseeds",vegetables,2.78,0.66622288
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,2.6,0.53380541
"fruits, vegetables, pulses and oilseeds",vegetables,2.09,0.73551222
"fruits, vegetables, pulses and oilseeds",vegetables,2.98,0.631843
"fruits, vegetables, pulses and oilseeds",vegetables,2.55,0.45782909
culinary aids and various ingredients,salt,2.44,0.6040639
